U,E_p,m_cdw,m_sdw,V,S,E_GS,Coh,E_p_bits
-3.0,0.02116835776749082,0.3798241656043885,0.14220070542452093,-2.3333333333333335,0.3035013264624165,-21.015424048835758,0.38378065936483363,0.03053948477492252
-3.0,0.02392820257990258,0.3777032230063856,0.12671731497580327,-2.0,0.3256187881476321,-19.137716043943303,0.41370165538285447,0.034521099199412486
-3.0,0.02789596672320882,0.3745242563299146,0.10531801524096127,-1.6666666666666667,0.35479010495896973,-17.293524411148613,0.4498763082469742,0.04024537285237706
-3.0,0.03929935969067366,0.3668974796978522,0.07495378539968227,-1.3333333333333333,0.39605794293934815,-15.497345582766686,0.4981361607004547,0.05669699133584638
-3.0,0.06295014446275626,0.34860762271650353,0.03362980881697518,-1.0,0.45430917471673055,-13.772855952527053,0.5613848759132802,0.09081786123966218
-3.0,0.11305006905065529,0.29991384837509893,-0.018602204512182103,-0.6666666666666666,0.5431415201831604,-12.166567620070154,0.6446789966597637,0.16309677399153522
-3.0,0.1851813173599708,0.17808058533496354,-0.06741915389965655,-0.3333333333333333,0.6592979438410619,-10.784161287234628,0.7228203462413441,0.26716016822051536
-3.0,0.21660550830192804,6.946952790798377e-10,-0.08802945185715912,0.0,0.7029697650691222,-9.742491221377755,0.749982093483969,0.31249569265642485
-3.0,0.22352709487175915,-0.17923037033748684,-0.10086456984950401,0.3333333333333333,0.6719262932807618,-8.977121433233377,0.7184408139595488,0.32248143127580375
-3.0,0.20134200783244727,-0.35482837727774263,-0.12031808801103913,0.6666666666666666,0.6038229464259117,-8.397376433396724,0.661536178234538,0.2904751162224981
-3.0,0.15535207016832042,-0.49976344068053047,-0.14162646749050758,1.0,0.5198514269381723,-7.966856670198137,0.5949255174302281,0.22412566122366995
-3.0,0.10930297670006506,-0.5979612266409177,-0.15888543451416576,1.3333333333333333,0.44636662210184647,-7.6533670469664035,0.5387842972102962,0.15769086243958563
-3.0,0.07513671367718233,-0.6588982891685123,-0.1709553825952996,1.6666666666666667,0.39271763586246705,-7.422967473244268,0.49113522734812165,0.10839936421076457
-3.0,0.05237573128224926,-0.696821254361782,-0.1790478732322572,2.0,0.35561877553252697,-7.249046897134799,0.45301276043297345,0.07556220778383382
-3.0,0.03751473344660594,-0.7213748732163798,-0.18449047124254675,2.3333333333333335,0.3298349312035664,-7.113768089200579,0.42279249343052977,0.054122319903689764
-3.0,0.02769419075401336,-0.7379982487008239,-0.1882496335113728,2.6666666666666665,0.31147806495853536,-7.0056418697212335,0.3985570345593653,0.03995427166224763
-3.0,0.02105525007471387,-0.7497465165279784,-0.1909097463720121,3.0,0.29807240866423823,-6.9171711409972065,0.378799582081021,0.030376304867466786
